i	rgb	r	g	b	maxRGB	minRGB	c	h
255	88,79,67	88.0	79.0	67.0	88.0	67.0	21.0	34.2857142857
256	123,128,118	123.0	128.0	118.0	128.0	118.0	10.0	90.0
257	146,147,140	146.0	147.0	140.0	147.0	140.0	7.0	68.5714285714
258	116,110,100	116.0	110.0	100.0	116.0	100.0	16.0	37.5
259	116,97,81	116.0	97.0	81.0	116.0	81.0	35.0	27.4285714286
260	118,124,124	118.0	124.0	124.0	124.0	118.0	6.0	180.0
261	115,123,123	115.0	123.0	123.0	123.0	115.0	8.0	180.0
262	133,145,140	133.0	145.0	140.0	145.0	133.0	12.0	155.0
263	140,131,123	140.0	131.0	123.0	140.0	123.0	17.0	28.2352941176
264	97,63,47	97.0	63.0	47.0	97.0	47.0	50.0	19.2
265	142,156,156	142.0	156.0	156.0	156.0	142.0	14.0	180.0
266	108,120,122	108.0	120.0	122.0	122.0	108.0	14.0	188.571428571
267	112,122,121	112.0	122.0	121.0	122.0	112.0	10.0	174.0
268	120,134,134	120.0	134.0	134.0	134.0	120.0	14.0	180.0
269	122,144,153	122.0	144.0	153.0	153.0	122.0	31.0	197.419354839
270	72,88,93	72.0	88.0	93.0	93.0	72.0	21.0	194.285714286
271	82,104,111	82.0	104.0	111.0	111.0	82.0	29.0	194.482758621
272	97,92,84	97.0	92.0	84.0	97.0	84.0	13.0	36.9230769231
273	108,125,126	108.0	125.0	126.0	126.0	108.0	18.0	183.333333333
274	144,151,148	144.0	151.0	148.0	151.0	144.0	7.0	154.285714286
275	129,139,133	129.0	139.0	133.0	139.0	129.0	10.0	144.0
276	123,132,126	123.0	132.0	126.0	132.0	123.0	9.0	140.0
277	155,169,166	155.0	169.0	166.0	169.0	155.0	14.0	167.142857143
278	121,129,123	121.0	129.0	123.0	129.0	121.0	8.0	135.0
279	111,111,104	111.0	111.0	104.0	111.0	104.0	7.0	60.0
280	149,166,160	149.0	166.0	160.0	166.0	149.0	17.0	158.823529412
281	128,132,116	128.0	132.0	116.0	132.0	116.0	16.0	75.0
282	107,119,119	107.0	119.0	119.0	119.0	107.0	12.0	180.0
283	8,17,21	8.0	17.0	21.0	21.0	8.0	13.0	198.461538462
284	10,17,19	10.0	17.0	19.0	19.0	10.0	9.0	193.333333333
285	12,17,20	12.0	17.0	20.0	20.0	12.0	8.0	202.5
286	6,10,13	6.0	10.0	13.0	13.0	6.0	7.0	205.714285714
287	142,121,62	142.0	121.0	62.0	142.0	62.0	80.0	44.25
288	142,114,55	142.0	114.0	55.0	142.0	55.0	87.0	40.6896551724
289	138,120,70	138.0	120.0	70.0	138.0	70.0	68.0	44.1176470588
290	147,128,81	147.0	128.0	81.0	147.0	81.0	66.0	42.7272727273
291	135,107,42	135.0	107.0	42.0	135.0	42.0	93.0	41.935483871
292	149,127,60	149.0	127.0	60.0	149.0	60.0	89.0	45.1685393258
293	145,134,77	145.0	134.0	77.0	145.0	77.0	68.0	50.2941176471
294	138,115,54	138.0	115.0	54.0	138.0	54.0	84.0	43.5714285714
295	160,137,67	160.0	137.0	67.0	160.0	67.0	93.0	45.1612903226
296	51,21,3	51.0	21.0	3.0	51.0	3.0	48.0	22.5
297	140,106,50	140.0	106.0	50.0	140.0	50.0	90.0	37.3333333333
298	128,98,47	128.0	98.0	47.0	128.0	47.0	81.0	37.7777777778
299	146,119,65	146.0	119.0	65.0	146.0	65.0	81.0	40.0
300	115,85,39	115.0	85.0	39.0	115.0	39.0	76.0	36.3157894737
301	67,94,113	67.0	94.0	113.0	113.0	67.0	46.0	204.782608696
302	101,106,96	101.0	106.0	96.0	106.0	96.0	10.0	90.0
303	88,70,50	88.0	70.0	50.0	88.0	50.0	38.0	31.5789473684
304	26,37,36	26.0	37.0	36.0	37.0	26.0	11.0	174.545454545
305	105,99,78	105.0	99.0	78.0	105.0	78.0	27.0	46.6666666667
306	131,145,138	131.0	145.0	138.0	145.0	131.0	14.0	150.0
307	85,93,93	85.0	93.0	93.0	93.0	85.0	8.0	180.0
308	112,127,126	112.0	127.0	126.0	127.0	112.0	15.0	176.0
309	98,109,107	98.0	109.0	107.0	109.0	98.0	11.0	169.090909091
310	96,109,107	96.0	109.0	107.0	109.0	96.0	13.0	170.769230769
311	88,99,98	88.0	99.0	98.0	99.0	88.0	11.0	174.545454545
312	80,91,89	80.0	91.0	89.0	91.0	80.0	11.0	169.090909091
313	96,105,104	96.0	105.0	104.0	105.0	96.0	9.0	173.333333333
314	66,72,70	66.0	72.0	70.0	72.0	66.0	6.0	160.0
315	130,145,140	130.0	145.0	140.0	145.0	130.0	15.0	160.0
316	131,145,140	131.0	145.0	140.0	145.0	131.0	14.0	158.571428571
317	104,89,74	104.0	89.0	74.0	104.0	74.0	30.0	30.0
318	125,143,142	125.0	143.0	142.0	143.0	125.0	18.0	176.666666667
319	104,116,114	104.0	116.0	114.0	116.0	104.0	12.0	170.0
320	98,105,102	98.0	105.0	102.0	105.0	98.0	7.0	154.285714286
321	96,96,85	96.0	96.0	85.0	96.0	85.0	11.0	60.0
322	94,82,75	94.0	82.0	75.0	94.0	75.0	19.0	22.1052631579
323	109,86,75	109.0	86.0	75.0	109.0	75.0	34.0	19.4117647059
324	103,89,77	103.0	89.0	77.0	103.0	77.0	26.0	27.6923076923
325	108,122,120	108.0	122.0	120.0	122.0	108.0	14.0	171.428571429
326	127,115,97	127.0	115.0	97.0	127.0	97.0	30.0	36.0
327	97,112,110	97.0	112.0	110.0	112.0	97.0	15.0	172.0
328	111,123,119	111.0	123.0	119.0	123.0	111.0	12.0	160.0
329	92,106,101	92.0	106.0	101.0	106.0	92.0	14.0	158.571428571
330	109,119,107	109.0	119.0	107.0	119.0	107.0	12.0	110.0
331	120,127,114	120.0	127.0	114.0	127.0	114.0	13.0	92.3076923077
332	81,98,101	81.0	98.0	101.0	101.0	81.0	20.0	189.0
333	105,115,109	105.0	115.0	109.0	115.0	105.0	10.0	144.0
334	122,118,106	122.0	118.0	106.0	122.0	106.0	16.0	45.0
335	122,119,107	122.0	119.0	107.0	122.0	107.0	15.0	48.0
336	101,94,77	101.0	94.0	77.0	101.0	77.0	24.0	42.5
337	76,77,69	76.0	77.0	69.0	77.0	69.0	8.0	67.5
338	146,153,139	146.0	153.0	139.0	153.0	139.0	14.0	90.0
339	86,79,67	86.0	79.0	67.0	86.0	67.0	19.0	37.8947368421
340	132,130,120	132.0	130.0	120.0	132.0	120.0	12.0	50.0
341	108,92,76	108.0	92.0	76.0	108.0	76.0	32.0	30.0
342	15,19,19	15.0	19.0	19.0	19.0	15.0	4.0	180.0
343	17,22,23	17.0	22.0	23.0	23.0	17.0	6.0	190.0
344	15,19,20	15.0	19.0	20.0	20.0	15.0	5.0	192.0
345	14,18,19	14.0	18.0	19.0	19.0	14.0	5.0	192.0
346	12,16,20	12.0	16.0	20.0	20.0	12.0	8.0	210.0
347	9,63,97	9.0	63.0	97.0	97.0	9.0	88.0	203.181818182
