i	rgb	r	g	b	maxRGB	minRGB	c	h
345	54,59,53	54.0	59.0	53.0	59.0	53.0	6.0	110.0
346	78,83,74	78.0	83.0	74.0	83.0	74.0	9.0	93.3333333333
347	71,74,70	71.0	74.0	70.0	74.0	70.0	4.0	105.0
348	70,71,61	70.0	71.0	61.0	71.0	61.0	10.0	66.0
349	65,59,47	65.0	59.0	47.0	65.0	47.0	18.0	40.0
350	90,108,106	90.0	108.0	106.0	108.0	90.0	18.0	173.333333333
351	48,46,40	48.0	46.0	40.0	48.0	40.0	8.0	45.0
352	83,84,71	83.0	84.0	71.0	84.0	71.0	13.0	64.6153846154
353	51,49,41	51.0	49.0	41.0	51.0	41.0	10.0	48.0
354	45,42,40	45.0	42.0	40.0	45.0	40.0	5.0	24.0
355	38,35,31	38.0	35.0	31.0	38.0	31.0	7.0	34.2857142857
356	70,70,61	70.0	70.0	61.0	70.0	61.0	9.0	60.0
357	50,50,45	50.0	50.0	45.0	50.0	45.0	5.0	60.0
358	11,11,8	11.0	11.0	8.0	11.0	8.0	3.0	60.0
359	34,29,20	34.0	29.0	20.0	34.0	20.0	14.0	38.5714285714
360	35,30,20	35.0	30.0	20.0	35.0	20.0	15.0	40.0
361	23,20,15	23.0	20.0	15.0	23.0	15.0	8.0	37.5
362	12,11,9	12.0	11.0	9.0	12.0	9.0	3.0	40.0
363	22,19,14	22.0	19.0	14.0	22.0	14.0	8.0	37.5
364	27,24,18	27.0	24.0	18.0	27.0	18.0	9.0	40.0
365	27,24,17	27.0	24.0	17.0	27.0	17.0	10.0	42.0
366	52,41,24	52.0	41.0	24.0	52.0	24.0	28.0	36.4285714286
367	13,12,9	13.0	12.0	9.0	13.0	9.0	4.0	45.0
368	14,13,10	14.0	13.0	10.0	14.0	10.0	4.0	45.0
369	15,13,10	15.0	13.0	10.0	15.0	10.0	5.0	36.0
370	14,12,9	14.0	12.0	9.0	14.0	9.0	5.0	36.0
371	22,19,12	22.0	19.0	12.0	22.0	12.0	10.0	42.0
372	22,17,11	22.0	17.0	11.0	22.0	11.0	11.0	32.7272727273
373	22,18,12	22.0	18.0	12.0	22.0	12.0	10.0	36.0
374	20,17,11	20.0	17.0	11.0	20.0	11.0	9.0	40.0
375	24,18,11	24.0	18.0	11.0	24.0	11.0	13.0	32.3076923077
