i	rgb	r	g	b	maxRGB	minRGB	c	h
334	63,66,64	63.0	66.0	64.0	66.0	63.0	3.0	140.0
335	44,43,38	44.0	43.0	38.0	44.0	38.0	6.0	50.0
336	76,76,73	76.0	76.0	73.0	76.0	73.0	3.0	60.0
337	86,87,76	86.0	87.0	76.0	87.0	76.0	11.0	65.4545454545
338	54,54,51	54.0	54.0	51.0	54.0	51.0	3.0	60.0
339	31,31,30	31.0	31.0	30.0	31.0	30.0	1.0	60.0
340	64,64,64	64.0	64.0	64.0	64.0	64.0	0.0	0.0
341	29,26,20	29.0	26.0	20.0	29.0	20.0	9.0	40.0
342	37,39,37	37.0	39.0	37.0	39.0	37.0	2.0	120.0
343	66,57,48	66.0	57.0	48.0	66.0	48.0	18.0	30.0
344	52,34,28	52.0	34.0	28.0	52.0	28.0	24.0	15.0
345	64,70,67	64.0	70.0	67.0	70.0	64.0	6.0	150.0
346	60,73,74	60.0	73.0	74.0	74.0	60.0	14.0	184.285714286
347	55,54,51	55.0	54.0	51.0	55.0	51.0	4.0	45.0
348	67,66,61	67.0	66.0	61.0	67.0	61.0	6.0	50.0
349	59,40,27	59.0	40.0	27.0	59.0	27.0	32.0	24.375
350	73,57,43	73.0	57.0	43.0	73.0	43.0	30.0	28.0
351	117,119,113	117.0	119.0	113.0	119.0	113.0	6.0	80.0
352	93,89,78	93.0	89.0	78.0	93.0	78.0	15.0	44.0
353	81,81,74	81.0	81.0	74.0	81.0	74.0	7.0	60.0
354	83,83,69	83.0	83.0	69.0	83.0	69.0	14.0	60.0
355	80,88,84	80.0	88.0	84.0	88.0	80.0	8.0	150.0
356	36,37,31	36.0	37.0	31.0	37.0	31.0	6.0	70.0
357	109,114,111	109.0	114.0	111.0	114.0	109.0	5.0	144.0
358	107,112,100	107.0	112.0	100.0	112.0	100.0	12.0	85.0
359	111,111,107	111.0	111.0	107.0	111.0	107.0	4.0	60.0
360	114,117,111	114.0	117.0	111.0	117.0	111.0	6.0	90.0
361	80,76,70	80.0	76.0	70.0	80.0	70.0	10.0	36.0
362	57,41,28	57.0	41.0	28.0	57.0	28.0	29.0	26.8965517241
363	2,2,2	2.0	2.0	2.0	2.0	2.0	0.0	0.0
364	98,101,85	98.0	101.0	85.0	101.0	85.0	16.0	71.25
365	99,98,80	99.0	98.0	80.0	99.0	80.0	19.0	56.8421052632
366	119,120,107	119.0	120.0	107.0	120.0	107.0	13.0	64.6153846154
367	72,71,59	72.0	71.0	59.0	72.0	59.0	13.0	55.3846153846
368	92,96,87	92.0	96.0	87.0	96.0	87.0	9.0	86.6666666667
369	26,32,32	26.0	32.0	32.0	32.0	26.0	6.0	180.0
370	50,54,51	50.0	54.0	51.0	54.0	50.0	4.0	135.0
371	43,54,58	43.0	54.0	58.0	58.0	43.0	15.0	196.0
372	61,66,63	61.0	66.0	63.0	66.0	61.0	5.0	144.0
373	52,47,44	52.0	47.0	44.0	52.0	44.0	8.0	22.5
